clip	ending0	ending1	ending2	ending3	ending4	label
video8918	a woman is showing how to fold up a baby stroller	a woman is trying to break a chair	man cutting a man s hair	man shampooing a man s hair	there is a man swimming in a pool	2
video9545	a person is discussing war strategy	a woman is explaining something	a chef is talking in a tv show	the bike rider bike is pull in two men at the track on reversely	a person is talking	4
video7704	a lady walks the catwalk	a man is standing	minecraft characters running in a room	a woman stirs a skillet full of cooking veggies	a man is crawling	1
video7118	animated video of disney princesses dancing with barbie	a woman is laying on a bed knocking wall behind her and writing a text message	sandra smith in a blue dress and ed henry in a red tie sitting next to each other	a woman is laying on a bed knocking wall behind her and dictating a text message	sad music plays over the final dramatic moments of a television game show	1
video7116	a woman cooks food while a man sets up food on a table	a group of people are walking a woman is talking about their culture	showing an image of a celebrity on a monitor	a group of people are cycling a woman is talking about their culture	minecraft characters are riding on horses	1
video7117	teens erase a pop song	wrestlers and a referee walk on to a wrestling area	a man is jumping from a height building	teens preform a pop song	a woman talking about a broccoli cheese soup recipe	3
video7114	a girl and a man are talking to each other	a man narrates his minecraft gameplay	two men talking about a woman	a girl and a man are kissing each other	a man is playing a violin very well	0
video7115	a man dances in front of his house	a man in a showroom sitting in front of a black suv	a woman in a dress walking and finding a purple rose while a song plays in the background	a person explaining how to prepare chicken fry	a man in a showroom standing in front of a black suv	4
video7112	the childs assembles the toy	men outside playing basketball one of the men never misses the shot	horror ghost movie scene	the dog logo for the zynga company is being shown	men outside playing basketball one of the men keeps missing the basket	4
video7113	a parade is brought to a standstill for a little while then continues	clips from a tv show are playing	a white bird is dirtying itself in a box a girl is looking at the bird	video game character rides a motorcycle	a white bird is cleaning itself in a box a girl is looking at the bird	4
video7110	ignoring one car racer in a racing event	a gentlemen with brown hair and a plaid shirt stands in his kitchen holding an orange blended beverage	a person is mixing ingredients in a bowl	a lady with red tops with a cat in her hand and a lady with pink top sitting on the couch	interviewing one car racer in a racing event	4
video9542	american football players are catching and running with footballs on a field	an old man is interviewed near a river	american football players are missing and running from footballs on a field	a beautiful princes walking like a doll	the hockey player scored a goal	0
video9679	a man yells about a motherboard	a man is giving a silent tutorial on hyper threading	session is started by holding hand in front of a start sensor and place eye wear	a man talks about a motherboard	a man showing the seats in a car	3
video8464	a cook explains the mixture of onion and lean meat with tomatoes to prepare a burger filling	a girl sitting and speaking news and paper in hand and still image of ship picture on screen displaying	two girls speak to some	a man is dancing in the stage and people are watching it	a man is explain some thing in the stage and people are watching it	4
video7701	a kid plays with a toy dump drunk filled with christmas ornaments	a bus covered in letters is driving around	a bus covered in letters is standing around	two women holding hands on a tv show	police officer is talking to civilian	1
video8899	a dietitian is singing with a couple about their grocery purchases	a man folding up and making a paper airplane	a dietitian is talking with a couple about their grocery purchases	a woman voices over a discussion of the late show	a woman is explaining how to do something on a computer	2
video8895	a guy and a girl relaxing in beach	swimming instructor talking about how to swim	a woman reading off nominees for an award	a women is smiling and telling something	a guy and a girl romancing in beach	4
video7431	people sitting and dancing in unison	person is listening to some cards from nasa	person is recording some cards from nasa	wrestler tangled in the ropes at a wwe match	a woman is chased by a masked man	2
video9549	there is a user interface with full operating options	a replay of a soccer game clips	3d animated characters dance to children song	a woman is holding a gun	there is a user interface with full functioning options	4
video8829	a man makes a young man sing by talking to him	kids drink a nutritious juice	three persons doing conversation about something in a happy mood	guy recording video of his baby trying to get the baby to say dada	a man makes a young man cry by talking to him	4
video8828	a scene from sponge bob with squidward standing at the register and talking to a fish	a man is listening to headphones and singing	two boys in white dresses sitting and speaking about topic displaying on screen	members of a cricket team watch something off screen then and applaud and laugh	two boys in white shirts standing and speaking about topic displaying on screen	2
video8826	a woman talking about a tv show that she is in	a woman is talking about a man	a woman reciting a tv show that she is in	spiderman holding an injured woman	a man uses tiny utensils	0
video8825	a woman talking african in kenya	a person is playing a video game	a man talking on talkshow	a woman holding black clothes	a woman disposing black clothes	3
video9548	a man is explaining about the parts of the yellow color car	a man cooking food	a man is talking about increases in an unknown subject	a man and a woman are talking to each other	a man is whispering about increases in an unknown subject	2
video8823	red color back ground more letters are displaye	two wrestlers eat on a mat	a cartoon goose is talking to another goose over the phone	two wrestlers grapple on a mat	the woman in the denim shirt talks in the kitchen	3
video8822	two men discuss a shooting	guy talking about the features of a laptop	a lady names the features on a car	two men enact a shooting	news about riots reform and hillary clinton	0
video8821	a man in a blue shirt driving an suv is racing against a person in white and is driving in the grass	a man in a black suit jack that looks like patrick dimpsey from the side is walking to a women and another man in a black vest	derrick rose shooting a game winning shot	a man in a black suit jack that looks like patrick dimpsey from the side is talking to a women and another man in a black vest	video game characters are singing a song	3
video8820	a man plays music in his car	a dirt bike rider going up a rock then falling then another starting a bike and then driving off	a dirt bike rider going up a rock then falling then another starting a bike and then stalling out	the man in white shirt is explaining something on the stage	people watching something on the tv	2
video9518	a young woman singing on a tv show	a little girl singing twinkle	a young woman wrestling on a tv show	a man is talking	a man coaches an excersize routine aimed at steps	0
video9519	a band is listing to a concert performance	a band is giving a concert performance	the man unrolls the crime scene tape	two teams playing basketball	in a kitchen a person is showing how to chop a large onion	1
video7432	the new air bra provides unbelievable support and shape	a person is explaining something	a person critiquing a tutorial	a women applying makeup to her eyes with a thin brush	a person giving a tutorial	4
video9503	a woman is talking about how jeans with patches or rips is trendy	some people are dancing on stage	a young girl shopping	a woman is showing around that jeans with patches or rips is trendy	an injured tennis player is attended to	0
video7751	two women are blowing kisses at the camera	a man talks about matt ryan while still frames are shown	a guy voicing over gameplay of minecraft	a toy egg is being unboxed	two women are talking into the camera	4
video7752	a man is talking about a car	a person flying around in the game minecraft	two men are playing tennis on a court one of which makes a signature shot	a man is lying under a car	woman describes a baby stroller	0
video9513	someone is playing video game	whos chaos game on shooting the enemies and the options are shown	a beautiful indian woman dances with others while music plays	a woman discussing mascara	a beautiful indian woman talks with others while music plays	4
video9515	black children and white men singing together with musical instruments	trees next to a snow covered field that has a large flock of birds taking off from it	black children and white men dancing together with musical instruments	a man giving a tutorial on how to fix an electronic object	a woman is advertising a car	0
video9516	four young girls singing together in harmony in a room	people are booing at a stadium	a man discusses the history of human interaction from past to present	a man is seen exiting a room then approaches an elevator in which the door opened and another man in a suit exited	people are cheering at a stadium	4
video9517	a woman and man are talking on the screen	people in a lab waiting for a man to come out of some sort of experiment	a man is holding a snake	a woman and man are singing on the screen	scene from a music video	0
video9677	a man wearing black order a nother man around	the brake and drum of a car wheel	disney characters are dancing	man wearing seat belt driving a car and talking about the millage	man wearing seat belt painting a car and talking about the millage	3
video7436	there is a list of ingredients on the dim background of nice glass cup there is a utensils dim background of utensil examples	a woman is dancing	a man is drawing a picture of squidward	a man and a woman eating at a table	a man and a woman crafting at a table	3
video7822	a woman cuts a watermelon and a man stirs a pot and makes pasta	three women are competing on the voice	people are dancing around at an outdoor wedding dressed in fancy outfits	people are milling about at an outdoor wedding dressed in fancy outfits	a video of a television show where children sing	3
video9204	tv show host showcases the premiere benefits of a car in which he is sitting in	a girl shows tips for nail polish and mascara	a news anchor is talking about a man who did a good deed	a news anchor is debating with another anchor about a man who did a good deed	it was like a exhibition where all the people sitting on the dining table having a look to the performance	2
video9205	a cartoon monster races at a man	a woman describes a recipe	a woman with long hair is talking from her room	man describing limitations of simulated person on video and explaining a possible solution to help limited persons	a woman with long hair is leaving her room	2
video9206	a woman is explaining the benefits of the stroller she s advertising	a woman applying makeup to her face and explaining how to do it	a man yells at a sink	a man sings at a sink	a man in a ball cap helps unload from one car into the other	2
video9207	a girl applying make up to her eye lashes into light pink colour using a small brush	david letterman interviewing bill murray on his show	woman walking down a runway in a mall as people watch	a girl removing make up to her eye lashes into light pink colour using a small brush	in a kitchenthere is a man preparing food	0
video9200	a man is eating while playing a video game	a man is commentating while playing a video game	a video of a man getting interviewed	a group of animated characters are floating in water	there is a man in green tshirt talking from a beach	1
video9201	a clip of a television show featuring people on a beach	alphabits singing a song	a clip of a television show killing people on a beach	the man is driving his motorbike fast and having problems on the race	a young woman is walking naked to a lake	0
video9202	an man in blue dress and many man beside with cup in his hand speaking	a man and a woman are singing on stage with a band	a girl dancing on stage	a girl singing on stage	trees sway in the breeze in a tropical beach paradise to the tune of auld lang syne	3
video9203	a girl is explaining something	a guy with grey side burns is talking to some people	a girl is singing and a man is playing guitar	a guy with grey side burns is being silent with some people	a blank screen is shown	1
video8690	one women talk about recipe delete weelicious visit weelicious	a pair of hands solves a rubiks cube	a person is doing something with paper	one women talk about recipe subscribe weelicious visit weelicious	the clip is filmed in slow motion for effect	3
video9209	a man is robot dress and looking	soldiers are in a snow storm	a girl is reparing a toy bow and arrow	a girl is shooting a toy bow and arrow	a girl is looking down and crying while a boy is singing	3
video7753	a person is singing about violent sports	people seen stumbling toward some sort of high rise building	a person is interviewing a man about violent sports	a man is scooping peanut butter out of an can	a child narrates the story about a glass slipper only fitting a great dancer	2
video9647	a football player runs and knocks over another player	some pictures of things are being shown on a screen	a technician explaining the working of a bicycle	the table tennis match of single s men is going on	a football player walks and knocks over another player	0
video7669	some women are walking on a fashion cat walk	a man describes how to use a robot	a movie maker describes how a special effect scene was shot for a movie	a woman talks to a camera	some women are running on a fashion cat walk	0
video9349	a discussion takes place during a cooking segment	many boats on a river sarounded by mountains and trees	a person giving a decorating tutorial	a person watching a decorating tutorial	a video game with a car is being played	2
video9341	a group of girls are dancing and then a man is surrounded by news reporters and gets excited	amazing chicken soup you can get from greg s kitchen	a group of girl are talking and then a man is surrounded by news reporters and gets excited	a person is working	there are two mens wrestling each other and the other one over powers the other	2
video9340	someone folds paper	one sad one trying to make the other sadder	two men and a woman stand wearing leather	one sad one trying to comfort	some people are walking around on a beach during the day	3
video9343	models walking down a runway	women serving food to a boy	edward norton and emma stone play truth or dare	a man is seen surfing on a wave music plays in the background while he surfs	women stealing food from a boy	1
video9342	a wrestler talking on the wwe	three people are in the ocean fishing on a jet ski as a larger boat is beside them	a man is singing or performing on stage for the president and his family and other people	there is a man in the kitchen on the pan there is oil boiling with butter the man speaks in italian and english	three people are in the ocean riding on a jet ski as a larger boat is beside them	4
video9345	a person is playing a video game	the birds landed in a large flock	the birds traveled in a large flock	a person playing with dogs and rat	a picture of am an in the bottom left corner is shown while he plays a video game	2
video9344	a man is commentating while playing a video game	two players are playing table tennis	some one is assembling a electronic parts in many electronic items	a man is making a phone call while playing a video game	some high end luxury cars go racing around a track	0
video9347	there is a woman in white color hair testing a product	a man had a red nose	there is a woman in white color hair talking about a product	a music troop singing and dancing at a time	a place with a lot of tables and people with bag in their hands	2
video9346	in a black helmet and ski outfit is leaning forward and holding onto a white pole that is quickly pulling her over a field of snow	a woman shows how to edit a picture	a young boy jumping on a trampoline	a woman shows how to look pretty in a picture	a man demonstrating how to use fix a computer	1
video7826	a man is waiting at an airport	a girl is preparing potato ball and explains the recipe	kids discuss where they have seen something before	a girl is examining potato ball and explains the recipe	fashion photos slide show	1
video9885	a woman is interviewing an actor about a movie	a woman is yelling at an actor about a movie	a person films an old car	a trailer for an upcoming movie with people on a beach	a rede race car sitting on top of a race track in front of a crowd	0
video7827	rock artists talking and singing on a stage and a big audience jumping and waving hands	the protesters carried signs	the protesters burned the signs	a man is telling news in the tv	a history lecture on two generals pushing for independence with one becoming king of mexico	1
video9581	some giant white waves receding from the rocks	a trailer for a film with words over the top	a group of birds in a snow covered field flying away	some giant white waves are crashing on the rocks	two wrestlers having a match in front of an audience	3
video7034	a man is talking with a piece of wood	a silver volkswagon cc is being described by a coupe	youtuber has a show about odd news including a person handling poison snakes	youtuber has a show about odd news but did not show a person handling poison snakes	a guy cooks chicken in a pot with boiling water	2
video8573	a shiny black sports car drives very slowly down a road through orange and white safety cones	people are being interviewed on a reality tv show	rock band sings a song	rock band plays an instrument	an unseen man explains about an expansion on the skylanders series	2
video8572	a scene is shown about people who committed crimes	a guy with a gray shirt is standing out side	a man stands in a room full of snakes and picks up a few of them by the tail to move them	three kids are performing a song	a man sits in a room full of snakes and picks up a few of them by the tail to move them	2
video8346	i see a chicken being punch by a guy they are talking about star trek	a man listens to a history lesson on spanish generals	basketball game highlight where a player makes a long three point shot	men talk about the food they are eating on camera	a man dicusses a history lesson on spanish generals	4
video8347	people play a scary game	mountaineers are happily getting ready to go up the mountains full of snow	opening scene from misconceptions	a group of ladies are screaming to each other	a group of ladies are talking to each other	4
video8344	girls sing in a choir	the players broken leg	a man drives an old car on the open road and discusses how he is wearing a lap belt	images fall and a king stands next to a ship and two scholars	a man drives an old car on the open road and cries about being pulled over by the cops	2
video8345	a girl is singing on stage for judges	a woman licks another woman's food in the kitchen	a giant man is eating people while small people are at his feat	a woman is telling the news	a woman feeds another woman some food in the kitchen	4
video8342	little kid on the floor	a slim tall and beautiful lady with flowers on her dress and head and adorned in a pink dress walking up and down the aisle in a fashion parade	a slim tall and beautiful lady with flowers on her dress and head and adorned in a pink dress dancing up and down the aisle in a fashion parade	a person is fixing a computer	a man is pointing at a bal	1
video8343	video game on the screen	a women applying makeup to her eyes with a brush	a man is holding up a cup	a man is creating  a cup	a man wearing white shirt and pink trouser is skating on the ice	2
video8340	woman in blue shirt is talking in her house	a boy and a girl scream about their hard pasts	a swarm of birds is flying through the sky	people are talking about a country in africa	a boy and a girl talk about their feelings	4
video7825	a few people sits to a table then a person bring them food	asian kids talk on their cell phones	a man is holding a glass	a beach scene near beach running person lying on sand water and displaying on screen	a few people dance near a table then a person brings them food	0
video8348	a woman cares for children abandoned by their mothers	a person is walking around the street while taking a selfie	a video shows a female pedestrian nearly miss a truck	a woman shouts at children abandoned by their mothers	a man describes the basic principles of ping pong specifically the desired motion of the ball	0
video8349	a clip of an animated character throwing a sword at another character	a family dining and drinking	a family dining and yelling	robbie is speaking about certain things	the person is holding an empty change purse	1
video9589	tv spot on a bright light that has shown up on the sky of san diego	a men is explaining about salary and incentive through a step diagram	video showing pictures of a car	girls singing playing music	girls chanting playing music	3
video9836	a woman is cooking	people excerizing in a studio together	gameplay video of minecraft	people congregate around cars and motorcycles and children play in a river	a woman is serving herself food.	0
video9835	two women are standing on a desk together looking at a laptop	a group of singers from a boy band sings a song in front of various chinese looking buildings and locations	a game is being played	two women are sitting at a desk together looking at a laptop	someone folds paper	3
video8851	more persons are wet on the rain and singing	an animated video talking about economists	more persons are wet on the rain and talking	a man is standing	honda vehicle features and looks	2
video9833	an authoritative figure is debating how prescription medications should be handled	an authoritative figure is explaining how prescription medications should be handled	several movies on a screen and a mouse moving down to see more movies	lady gaga is dancing and singing	a soccer player in pink shorts manipulates the ball down a grassy field	1
video9832	a person playing a video game and eating some food	a clip of a woman baking a cake for the camera	a short clip taken of a cartoon featuring monsters	a person playing a video game and commentating	this is a video clip of the lion king in this clip simba s uncle scar says long live the king and pushes simba s dad off a cliff	3
video9831	a mans voice describing his opinion of a game is dubbed over a screenshot of a computer game before a picture comes up of a different game	people are riding kayaks	people are carrying kayaks	stirring food and a lady talking	john stewart talking to an interviewer	1
video9830	men rocking and driving	an entertainment reporter talks about different men in the entertainment industry	a man is floating dead slowly across a pool on his stomach	a man is swimming slowly across a pool on his stomach	a man eating food outside	3
video9839	pak team is playing circket	several animated horses are standing around in a barn	how to cook food gheat explain the lady	several animated horses are kicking around in a barn	a man walking in an officebuilding then looking at a large screen to simulate a scene in a car	1
video9838	a scene in pokemon where various pokemon are singing and dancing	a woman in blue an emablmer is speaking about dead people in the morgue	a scene in pokemon where various pokemon are fighting and dancing	there is a man driving a small car that looks kinda like a square shape there is also another man with him	a man is playing the guitar	0
video8089	some men are racing in a car across a field driving away from a police car	a clip of the movie	video game panorama of a wwe match	a woman in black puts on blush while looking in a mirror	some men are stationary in a car across a field inching closer to a police car	0
video9728	a man discusses kiru disease	a man has kiru disease	still life images featuring women of the past and written commentary	a man on a basketball court running and jumping to touch the backboard to the basketball hoop	a person sprayed fire extinguisher on a vehicle	0
video8122	someone killing monsters in minecraft	a man is running through the woods with a bow	a man is walking through the woods with a bow	a man is in a pit with cobras	batman fights with a villain	1
video8123	a man is speaking while he eats breakfast using a baguette to cut into an egg	a woman is talking about a baby stroller	a man is standing on top of a building ready to jump	a woman is writing about a baby stroller	an accapella group is singing	1
video8120	a group of men kiss each other on a tv set	a man is describing a product called the ugly rubber into a microphone in a recording studio	what looks like a potato pancake is placed on a plate	woman showing a towel or blanket	a group of men discuss sports on a tv set	4
video8121	a person is configuring an electronic device	a band performs on a stage	a person is assembling an electronic device	the lion king movie clip where scar is killing mufasa recorded from a tv	a water scene and tress inside forest moving water nice scene person roaming mountain displaying on screen	2
video7839	the football players cried	the football players celebrated	a man is singing	a musician playing the piano	a man in brown coat sitting a cartoon dolls girl and boy catching hand and opening drawaer jumping hiding displaying on screen	1
video7838	a man is talking	a woman talking in the kitchen	illustrations are shown on a basketball backboard showing how high someone will need to jump to break a record	a man is fighting	three girls in short tight dresses pose in individual photos	0
video8124	a basketball player defends a shot	a talk show host petting a cheetah	a band is playing a song	a man talking about an suv and its features	a basketball player makes a shot	0
video8125	a man hanging from his flying drone	a person is wrapping magnets	a battle between a man and a skeleton	a man hanging from his grounded drone	a man couches n the floor as two people heavily pet each other on a couch in the background	0
video7834	a woman explaining a recipe involving vegatables and oil	person in blue shirt is presenting some information from the world	a judge is judging a performer	person in blue shirt is discarding some information from the world	a man is talking about the pets in video games	1
video7836	a group of girls singing	a man in a purple face mask and a suit disappears into some mist	woman dances and yells about the end of november	woman dances and talks about the end of november	people are on the news	3
video7831	person is presenting some posters from world war z	a hiker walks down a stairway in the forest towards two companions in the background rushing water can be heard	nami is forcing zozo to eat her cooking	a woman explains about the potato that is going to owen before it is converted into chips	nami is telling zozo to eat her cooking	2
video7830	as visioned by sounds ways disney s donald duck changes shape	a boy is looking at his photos	a boy is posing for photos	rider explaining his riding experience on a racing bike in misano circuit	woman is driving her red car near the grey jeep	2
video7833	a group of guys were doing some funny actions on the road	a girl lays in bed and uses her phone	A man is singing about politics.	man speaking about politics	an informational video talks about an infamous pokemon episode	3
video7832	a stuffed animal is making desert	a man is swimming across from a pretty woman	a man talks about the unhappiness of renaissance period people with first and second spouses	a man is sitting across from a pretty woman	the balls are taken very violently from the opponent and runs vigorously towards the post for scoring	3
video7506	a spanish taxi cab driving video game	people talking on the stage	a spanish role playing video game	a journalist talks about the president	a mock video of spongebob	0
video7501	a woman is giving a news report	two reporters editing william smith's top 5 movies	two reporters reviewing about william smith s top 5 movies	a girl is singing on stage	there is a war between two people after the all came normal	2
video7500	a man is practicing sports	a soccer game with a huge booing audience	someone is demonstrating how to transfer a recently cooked dish from a frying pan to a plate	a soccer game with a huge cheering audience	a girl remembering her mom who died	3
video7233	the three performers sang on stage	two girls are talking about entertainment news	two men are working together in a sci fi job	two teams are playing volleyball	two men are eating together at a sci fi job	2
video7231	a piece of machinery being shown with no audio	a baby is laughing while a cat plays	a cartoon character kicks a beehive	a chakra balanced character lifts  a woman	a chakra balanced character introduces a woman	4
video7230	a woman is talking about a baby stroller	two people eating food while one opens a breifcase	there is a woman is talking about a veg dish	three people in a kitchen taking a phone call	a woman is pointing at  a baby stroller	0
video7237	a person explains about the new camera and its usage and how to use the camera	a man is drive a bike and a man follow with car	an indian woman talks about the modern features of a newly released car	a person yells about their new camera.	a woman signing autographs	0
video7236	two mermaid with red hair is sitting on a rock	the boy sang with all his heart	a guy mixes up meatloaf in a white bowl outside of his house	the boy lifting weights with all his heart	a person is playing a video game	1
video7234	women standing in the middle of two guys staring them	some scenes from a tv show are playing in which people are talking	the two women add spices to the food cooking in the skillet	women sitting in the middle of two guys staring them	a man is performing a song	3
video8650	a woman and a man are dancing	models walking down the runway	scene from a popular party	woman arrested in abu dhabi mall stealing	woman arrested in abu dhabi mall killing	4
video8651	a man giving demo about the car	the football players try to catch the ball	a water moving ship moving swiftly slowly	a man reviewing the car	an animated clip of a minecraft character dancing	0
video8652	sportsmanwalked between the audience	a chef picks up a live crab with tongs in a kitchen then takes it in her hand	dubstep music plays while viewing a photo of a baseball player in red uniform	sportsman jumped between the audience	a cartoon with fire for hair	3
video7502	a person is giving interview to a man	a narrator raps about where to find a rare vehicle in grand theft auto	a narrator explains where to find a rare vehicle in grand theft auto	a woman in a green dress	a man in suit walks down a hallway and also gives a lecture to an intently listening audience	2
video8654	a man is resisting the act of rape another man places drug pills into someones cup	a race car is showing driving around the tracks	a person is eating food	a person in white dress color standing speaking inside kitchen preparing dish walking displaying on screen	a person is cooking food	4
video8656	a dad plays video games with his son	a mixer spills a yellow substance	couple is dancing	a mixer mixes a yellow substance	marvel s avengers movie trailer	3
video8657	a man is sleeping on his motorbike	a man is arriving on his motorbike	swimming in water a looking at landscape	a baby is playing with a cat	lady singing on a beach at night	1
video7898	someone is doing photoshop on an image in fast motion	cooked food are nicely arranged and thrown on a table	cooked food are nicely arranged and kept in a table	a woman in a pink shirt running and then jumping	a boat goes down a narrow waterway in a town with colorful buildings	2
video8514	in the kitchen the lady is telling how to make the kitchen item in tasty method	little kids playing in lawn	in the kitchen the lady is singing about how to make the kitchen item in tasty method	men are walking and dancing	a person in a bikini is doing something with a device	0
video7909	a woman drawing pictures of how to use decorations	chef explains quickly how to make a meal	a specific scene from a video game is shown	a woman explaining how to use decorations	kids running from a horse outside	3
video8456	a man and a women speaking in a apartment	two men eating an ice cream sandwich differently	it is a cartoon so many babies are there and a santha	a man and a women yelling in a apartment	marvel s avengers movie trailer	0
video8018	a child vomits some vegetables and places them in a grocery cart	an animation clip of a boy and a girl hugging each other	a child grabs some vegetables and places them in a grocery cart	couples describing the logic behind movie scenes	a woman with dark hair with exotic contact lenses is adding details to the vessels surrounding her eyes	2
video8016	children eat a piece of fried chicken	a clip of a video game outside	a man talks about the mirror test and scientific theory	a cat and a dog are cuddling	a cat and a dog are fighting	4
video7900	a man yells about dna force	a man talks about dna force	a man seasoning his meal and taking a bite	a woman talking to a man	a young boy is dancing and singing to a pop song	1
video8014	a man is describing about the base of a car	a man is walking through a market	a man gutting a fish	many men and women are sleeping together	many men and women are singing together	4
video7902	a baby and a orange tabby cat on a bed where the baby is pulling the cats tail	a clip taken from an asian soap opera	someone is playing a video game	a baby and a orange tabby cat on a bed where the baby is smelling the cats tail	a girl waits in an airport terminal then an airliner out on the target at nighttime is shown	0
video8012	a woman is talking	a woman is sleeping	a person is playing guitar	an emotional video on being helpful	people are singing and dancing	0
video8013	a woman walking through her sims home	judges are astonished by a singers voice	a man is rubbing his heart while playing basketball	a woman is singing	a man is beating his heart while playing basketball	4
video8010	three guys talk to each other	a person changes the color of his car in lego star wars	david leterman is doing an interview	a person preserves the color of his car in lego star wars	a car is running fast	1
video8011	young kid outside dancing by the pool	a bunch of kids are talking in a children s show	guy driving a jeep	a girl is vlogging for her channel	a girl is advocating for her channel	3
video7589	a man running in an island	a woman speaking in foreign language	a person looking at their motocycle	the number 15 appears a movie is shown death to smoochy with a man in a dinosaur suit on the cover	a man explaining about an island	4
video7588	different vegetable are cut into pieces	a man is nailing molding to baseboards	a girl watches a classmate get yelled at by a teacher	a scientist talks about his feelings on cutting trees in a rain forest	a man is gluing molding to baseboards	1
video9745	a man telling about a car	a group of people ride in a vehicle suspended over a forest	members of a cricket team watch something off screen then and scratch 	members of a cricket team watch something off screen then and applaud and laugh	an adult practices a gymnastic skill	3
video9744	a cartoon to the song mary had a little lamb	a group of men blindfolded and smelling objects	a group of men are naked and smelling objects	a man looks at an alternator	a person is showing a miniature oven	1
video7587	two women are speakng about a young girl and her actions	two boys are having a wrestling match while a crowd boos	two boys are having a wrestling match while a crowd watches	a person rubs their fingers together	a ckise up shows someone s fingers making use of a fast search app on their phone	2
video7586	a man and woman in different scenes	a group of women singing	students walking inside a building as three in each group at last a single girl is left behind	a group of women dancing	a woman talking about vision problems	1
video7581	a man is giving an interview	a man gives advice to various people	a message flashing words of encouragement	people are playing basketball	a message showing words of discouragement	2
video7580	a crazy woman talking about the public perception of aliens	a crazy woman denouncing the public perception of aliens	two kids talk in a classroom	various clips of different moviesmostly kid movies	a man performs on stage sounds with his mouth	0
video7583	a young pretty woman is ignoring a woman dressed in black	a game character shooting at another character	people are playing baseball and then american football	a young pretty woman is talking to a woman dressed in black	a man with a hat on walking through a cafeteria	3
