clip	ending0	ending1	ending2	ending3	ending4	label
video8825	a person is playing a video game	a man talking on talkshow	a woman talking african in kenya	a woman singing and wearing a leather jacket	a woman observing and wearing a leather jacket	4
video9548	a man and a woman are talking to each other	people are shooting guns	a man is explaining about the parts of the yellow color car	people are pointing guns	a man cooking food	1
video8823	two men are wrestling	the woman in the denim shirt talks in the kitchen	red color back ground more letters are displaye	a cartoon goose is talking to another goose over the phone	two men are dancing	0
video8822	a lady names the features on a car	news about riots reform and hillary clinton	a chat show discusses responses to a comment	a chat show discusses responses to a shooting	guy talking about the features of a laptop	3
video8821	a man discusses the atmosphere on the set of his movie	video game characters are singing a song	derrick rose shooting a game winning shot	a man in a blue shirt driving an suv is racing against a person in white and is driving in the grass	a man sings the atmosphere on the set of his movie	0
video8820	the man in white shirt is explaining something on the stage	a person comes up in the hill on a orange motor bike and falls down	people watching something on the tv	a man plays music in his car	a person comes up in the hill on a orange motor bike and sings	1
video9518	a man coaches an excersize routine aimed at steps	a little girl singing twinkle	a man is talking	a girl in a red skirt prepares to perform on television	a girl in a red skirt prepares to cook on television	3
video9519	in a kitchen a person is showing how to chop a large onion	a man is standing	the man unrolls the crime scene tape	a man is singing	two teams playing basketball	3
video7432	a women applying makeup to her eyes with a thin brush	a person is recording their computer screen	the new air bra provides unbelievable support and shape	a person is explaining something	a person is watching their computer screen	1
video9503	an injured tennis player is attended to	a young girl shopping	a young woman in denim overalls discusses patching holes in jeans with lace or fun fabric	a young woman in denim overalls pokes holes in jeans with lace or fun fabric	some people are dancing on stage	2
video7751	girls discuss one of their birthdays over a cake	a man talks about matt ryan while still frames are shown	a guy voicing over gameplay of minecraft	a toy egg is being unboxed	girls smile at one of their birthdays over a cake	0
video7752	a man speaks on cleaning and a car model	a man speaks on driving and a car model	a person flying around in the game minecraft	two men are playing tennis on a court one of which makes a signature shot	woman describes a baby stroller	1
video9513	whos chaos game on shooting the enemies and the options are shown	someone is playing video game	a woman is standing	a woman discussing mascara	a woman is smiling	4
video9515	a woman is advertising a car	a boy is dancing	a boy is singing	a man giving a tutorial on how to fix an electronic object	trees next to a snow covered field that has a large flock of birds taking off from it	2
video9516	four young girls singing together in harmony in a room	fans are admiring their team in soccer	a man is seen exiting a room then approaches an elevator in which the door opened and another man in a suit exited	fans are cheering on their team in soccer	a man discusses the history of human interaction from past to present	3
video9517	a fat man tries to close a water bottle	a fat man tries to open a water bottle	a man is holding a snake	scene from a music video	people in a lab waiting for a man to come out of some sort of experiment	1
video9677	disney characters are dancing	a man wearing a red shirt that is driving a car	the brake and drum of a car wheel	a man wearing black order a nother man around	a man wearing a red shirt that is standing by a car	1
video7436	there is a list of ingredients on the dim background of nice glass cup there is a utensils dim background of utensil examples	a man and a woman kiss at a table	a woman is dancing	a man and a woman eating at a table	a man is drawing a picture of squidward	3
video7822	a woman wearing a purple dress is walking up stairs and is being filmed by multiple people	three women are competing on the voice	a woman cuts a watermelon and a man stirs a pot and makes pasta	a video of a television show where children sing	a woman wearing a purple dress is skiing down stairs and is being filmed by multiple people	0
video9204	a girl shows tips for nail polish and mascara	it was like a exhibition where all the people sitting on the dining table having a look to the performance	a news reporter talks about a missing	tv show host showcases the premiere benefits of a car in which he is sitting in	a news reporter talks about a shooting	4
video9205	a cartoon monster races at a man	a woman describes a recipe	man describing limitations of simulated person on video and explaining a possible solution to help limited persons	a woman is on a computer screen looking at something that seems un her	a woman is on a computer screen looking at something that frighten her	4
video9206	a woman applying makeup to her face and explaining how to do it	a man in a ball cap helps unload from one car into the other	a man is play punching a faucet	a man is play testing a faucet	a woman is explaining the benefits of the stroller she s advertising	2
video9207	woman walking down a runway in a mall as people watch	david letterman interviewing bill murray on his show	in a kitchenthere is a man preparing food	there is a cute woman is applying makeup	there is a cute woman is walking with makeup	3
video9200	a video of a man getting interviewed	a person playing a video game and commentating	a person playing a video game and laughing	a group of animated characters are floating in water	there is a man in green tshirt talking from a beach	1
video9201	a young woman is walking naked to a lake	the man is driving his motorbike fast and having problems on the race	alphabits singing a song	a group of people hanging out by the beach	a group of people dance on the beach	3
video9202	a man and a woman are singing on stage with a band	trees sway in the breeze in a tropical beach paradise to the tune of auld lang syne	a kid is singing	a kid is dancing	an man in blue dress and many man beside with cup in his hand speaking	2
video9203	a man sits and talks near a black and white background	a girl is singing and a man is playing guitar	a girl is explaining something	a blank screen is shown	a man stands and talks near a black and white background	4
video8690	a pair of hands solves a rubiks cube	the clip is filmed in slow motion for effect	a lady is cooking a recipe and is being shown on	a person is doing something with paper	a lady is shopping for a recipe and is being shown on	2
video9209	a man is robot dress and looking	soldiers are in a snow storm	a girl is looking down and crying while a boy is singing	a girl is loading a toy bow and arrow	a girl is shooting a toy bow and arrow	4
video7753	a man is scooping peanut butter out of an can	a child narrates the story about a glass slipper only fitting a great dancer	a man is sleeping in a white chair	people seen stumbling toward some sort of high rise building	a man is sitting on a white chair	4
video9647	a football player runs and knocks over another player	a technician explaining the working of a bicycle	some pictures of things are being shown on a screen	the table tennis match of single s men is going on	a football player runs and shoots another player	0
video7669	there is a hot women walking on the ramp	a man describes how to use a robot	there is a hot women dancing on the ramp	a movie maker describes how a special effect scene was shot for a movie	a woman talks to a camera	0
video9349	a video game with a car is being played	a person is crafting	a person is cooking	a discussion takes place during a cooking segment	many boats on a river sarounded by mountains and trees	1
video9341	a movie scene with three girls talking and a guy cursing	there are two mens wrestling each other and the other one over powers the other	a person is working	a movie scene with three girls talking and a guy singing	amazing chicken soup you can get from greg s kitchen	0
video9340	a prisoner sitting on a bed in a sorrow where the jailer kicks her	two men and a woman stand wearing leather	some people are walking around on a beach during the day	a prisoner sitting on a bed in a sorrow where the jailer consoles her	someone folds paper	3
video9343	models walking down a runway	edward norton and emma stone play truth or dare	there is a woman serving a food to a man	a man is seen surfing on a wave music plays in the background while he surfs	there is a woman eating a food to a man	2
video9342	people are floating in the ocean while a boat circles them	people are crying in the ocean while a boat circles them	there is a man in the kitchen on the pan there is oil boiling with butter the man speaks in italian and english	a wrestler talking on the wwe	a man is singing or performing on stage for the president and his family and other people	0
video9345	a person playing with dogs and rat	a person is playing a video game	a picture of am an in the bottom left corner is shown while he plays a video game	the birds traveled in a large flock	the birds stand in a large flock	3
video9344	a man is shooting other cars in a video game	some high end luxury cars go racing around a track	two players are playing table tennis	a man is crashing into other cars in a video game	some one is assembling a electronic parts in many electronic items	3
video9347	a music troop singing and dancing at a time	a blond woman in a red shirt sits in a chair and displays a pillow	a man had a red nose	a place with a lot of tables and people with bag in their hands	a blond woman in a red shirt sits in a chair and falls down a pillow	1
video9346	a girl clicks a photograph on her computer	a girl edits a photograph on her computer	a man demonstrating how to use fix a computer	in a black helmet and ski outfit is leaning forward and holding onto a white pole that is quickly pulling her over a field of snow	a young boy jumping on a trampoline	1
video7826	a person is driving	fashion photos slide show	a man is waiting at an airport	kids discuss where they have seen something before	a person is cooking	4
video9885	a person films an old car	a rede race car sitting on top of a race track in front of a crowd	people react to popular media stars such as woody allen	people discuss popular media stars such as woody allen	a trailer for an upcoming movie with people on a beach	3
video7827	a man is telling news in the tv	a group of people are performing	a history lecture on two generals pushing for independence with one becoming king of mexico	a group of people are protesting outside	rock artists talking and singing on a stage and a big audience jumping and waving hands	3
video9581	a beautiful place of water falls down a mountain very force and gentle	a group of birds in a snow covered field flying away	a beautiful place of water crossing a mountain very force and gentle	two wrestlers having a match in front of an audience	a trailer for a film with words over the top	2
video7034	a guy cooks chicken in a pot with boiling water	a silver volkswagon cc is being described by a coupe	a man in a blak shirt sitting in front of a wall of cartoon papers	a man is talking with a piece of wood	a man in a blak shirt singing in front of a wall of cartoon papers	2
video8573	a shiny black sports car drives very slowly down a road through orange and white safety cones	people are being interviewed on a reality tv show	an unseen man explains about an expansion on the skylanders series	a group is dancing to a song	a group is singing a song	4
video8572	a zoo-worker handles a pit of snakes nonchalantly	a scene is shown about people who committed crimes	a zoo-worker falls into a pit of snakes nonchalantly	a guy with a gray shirt is standing out side	three kids are performing a song	0
video8346	men talk about the food they are eating on camera	basketball game highlight where a player makes a long three point shot	i see a chicken being punch by a guy they are talking about star trek	there is a person is standing on the floor	there is a person is walking on the floor	3
video8347	mountaineers are happily getting ready to go up the mountains full of snow	a group of women dance in a room	a group of women stand in a room	people play a scary game	opening scene from misconceptions	2
video8344	girls sing in a choir	the players broken leg	a car is running fast	a car is zooming fast	images fall and a king stands next to a ship and two scholars	2
video8345	a grand mother   hugs her young grand daughter	a grand mother  feeding her young grand daughter	a giant man is eating people while small people are at his feat	a woman is telling the news	a girl is singing on stage for judges	1
video8342	a person is fixing a computer	a cute girl ia cat walk in in the fashion show	a cute girl ia cat falling in in the fashion show	a man is pointing at a bal	little kid on the floor	1
video8343	a man drinking from a cup	a man wearing white shirt and pink trouser is skating on the ice	a man grabbing a cup	a women applying makeup to her eyes with a brush	video game on the screen	2
video8340	a man and a woman kiss in a bedroom	people are talking about a country in africa	a man and a woman stand in a bedroom	a swarm of birds is flying through the sky	woman in blue shirt is talking in her house	2
video7825	a beach scene near beach running person lying on sand water and displaying on screen	there is a man is eating food with family	a man is holding a glass	asian kids talk on their cell phones	there is a man is preparing food with family	1
video8348	a group of children are laying on top of a blanket on the floor	a video shows a female pedestrian nearly miss a truck	a person is walking around the street while taking a selfie	a man describes the basic principles of ping pong specifically the desired motion of the ball	a group of children are standing on top of a blanket on the floor	0
video8349	a family standing around a table having a meal and wine	robbie is speaking about certain things	a family sitting around a table having a meal and wine	a clip of an animated character throwing a sword at another character	the person is holding an empty change purse	2
video9589	video showing pictures of a car	a group is listening to a song	a group is performing a song	tv spot on a bright light that has shown up on the sky of san diego	a men is explaining about salary and incentive through a step diagram	2
video9836	a woman is singing	people excerizing in a studio together	a woman is cooking	people congregate around cars and motorcycles and children play in a river	gameplay video of minecraft	2
video9835	someone folds paper	two ladies are sitting at a desk looking at a laptop together	two ladies are standing at a desk looking at a laptop together	a group of singers from a boy band sings a song in front of various chinese looking buildings and locations	a game is being played	1
video8851	a man is standing	two guys standing in rain while a group of people coming in umbrella in front of them	honda vehicle features and looks	an animated video talking about economists	two guys sitting in rain while a group of people coming in umbrella in front of them	1
video9833	a soccer player in pink shorts manipulates the ball down a grassy field	the bald man with the suit tells tom hank to translate to the other man that the medicine has to stay in united states	lady gaga is dancing and singing	several movies on a screen and a mouse moving down to see more movies	the bald man with the suit tells tom hank to translate to the other man that the medicine has to change in united states	1
video9832	a guy rides a motorcycle in a video game	a clip of a woman baking a cake for the camera	this is a video clip of the lion king in this clip simba s uncle scar says long live the king and pushes simba s dad off a cliff	a short clip taken of a cartoon featuring monsters	a guy falls off a motorcycle in a video game	0
video9831	a mans voice describing his opinion of a game is dubbed over a screenshot of a computer game before a picture comes up of a different game	john stewart talking to an interviewer	stirring food and a lady talking	people are fighting in the jungle	people are exploring the jungle	4
video9830	an entertainment reporter talks about different men in the entertainment industry	a man wearing shorts is swiming in a pool using only this legs to push away the water	a man eating food outside	men rocking and driving	a man wearing shorts is swiming in a pool using only this legs to pull away the water	1
video9839	pak team is playing circket	there is a horse is  standing alone the ground	there is a horse is   sitting alone the ground	a man walking in an officebuilding then looking at a large screen to simulate a scene in a car	how to cook food gheat explain the lady	1
video9838	a cartoon clip of pokemon dancing	a man is playing the guitar	a woman in blue an emablmer is speaking about dead people in the morgue	a cartoon clip of pokemon fighting	there is a man driving a small car that looks kinda like a square shape there is also another man with him	0
video8089	a woman in black puts on blush while looking in a mirror	video game panorama of a wwe match	a man is standing by a small police car on a track	a clip of the movie	a man is driving a small police car on a track	4
video9728	a man discusses kiru disease	a person sprayed fire extinguisher on a vehicle	still life images featuring women of the past and written commentary	a man on a basketball court running and jumping to touch the backboard to the basketball hoop	a man sings kiru disease	0
video8122	someone killing monsters in minecraft	batman fights with a villain	iron man throwing the hulk	a man is in a pit with cobras	iron man attacks the hulk	2
video8123	a man is standing on top of a building ready to jump	an accapella group is singing	a woman is moving baby carriages	a woman is reviewing baby carriages	a man is speaking while he eats breakfast using a baguette to cut into an egg	2
video8120	a man is describing a product called the ugly rubber into a microphone in a recording studio	a group of men discuss sports on a tv set	woman showing a towel or blanket	a group of men cheering sports on a tv set	what looks like a potato pancake is placed on a plate	1
video8121	a man compares a battery pack to something	a man attaches a battery pack to something	the lion king movie clip where scar is killing mufasa recorded from a tv	a water scene and tress inside forest moving water nice scene person roaming mountain displaying on screen	a band performs on a stage	1
video7839	a man is singing	a man in brown coat sitting a cartoon dolls girl and boy catching hand and opening drawaer jumping hiding displaying on screen	a musician playing the piano	a man is running	a man is standing	3
video7838	illustrations are shown on a basketball backboard showing how high someone will need to jump to break a record	a man in a sweatshirt urges viewers to subscribe	a man in a sweatshirt urges viewers to vote	three girls in short tight dresses pose in individual photos	a woman talking in the kitchen	1
video8124	a man talking about an suv and its features	a band is playing a song	a talk show host petting a cheetah	a basketball player defends a shot	a basketball player scores a shot	3
video8125	a man in a flying contraption drives through a field	a man in a flying contraption crashes in a field	a battle between a man and a skeleton	a man couches n the floor as two people heavily pet each other on a couch in the background	a person is wrapping magnets	1
video7834	a woman explaining a recipe involving vegatables and oil	a news segmant on support services jobs opening	a man is talking about the pets in video games	a judge is judging a performer	a news segmant on support services jobs growing	4
video7836	a girl and singing and dancing	a man in a purple face mask and a suit disappears into some mist	people are on the news	a group of girls singing	a girl and singing and laughing	0
video7831	cartoon characters are dancing	cartoon characters are interacting	person is presenting some posters from world war z	a woman explains about the potato that is going to owen before it is converted into chips	a hiker walks down a stairway in the forest towards two companions in the background rushing water can be heard	1
video7830	a boy is standing in a chair with a red shirt on	rider explaining his riding experience on a racing bike in misano circuit	a boy is sitting in a chair with a red shirt on	woman is driving her red car near the grey jeep	as visioned by sounds ways disney s donald duck changes shape	2
video7833	a group of guys were doing some funny actions on the road	a man holding a cup	an informational video talks about an infamous pokemon episode	a girl lays in bed and uses her phone	a man drinking from a cup	1
video7832	a girl is relaxing in the train	a stuffed animal is making desert	a man talks about the unhappiness of renaissance period people with first and second spouses	a girl is singing on the train	the balls are taken very violently from the opponent and runs vigorously towards the post for scoring	0
video7506	people talking on the stage	a mock video of spongebob	a video game of taxi racing	a journalist talks about the president	a video game of taxi pick up	2
video7501	two men meet a world famous man	a woman is giving a news report	two men discussing about a world famous man	a girl is singing on stage	there is a war between two people after the all came normal	2
video7500	a soccer team walking out on the field	a man is practicing sports	a girl remembering her mom who died	someone is demonstrating how to transfer a recently cooked dish from a frying pan to a plate	a soccer team practicing on the field	0
video7233	two girls are talking about entertainment news	two persons sit in the control room and two other people doing something on a glassy table	two teams are playing volleyball	the three performers sang on stage	two persons standing in the control room and two other people doing something on a glassy table	1
video7231	a clip from a show introducing someone they are going to interview	a piece of machinery being shown with no audio	a cartoon character kicks a beehive	a baby is laughing while a cat plays	a clip from a show introducing someone they are going to cook with	0
video7230	three people in a kitchen taking a phone call	there is a woman is talking about a veg dish	a baby playing in a vehicle	two people eating food while one opens a breifcase	a baby sitting on a vehicle	4
video7237	a man is drive a bike and a man follow with car	a woman signing autographs	an indian woman talks about the modern features of a newly released car	a guy is holding a device used in water heating system and demonstrating how to use it	a guy is holding a device used in water cooling system and demonstrating how to use it	4
video7236	two mermaid with red hair is sitting on a rock	a person is playing a video game	a boy is dancing	a guy mixes up meatloaf in a white bowl outside of his house	a boy is singing	4
video7234	a man is performing a song	this is how your teacher learns a friday afternoon	the two women add spices to the food cooking in the skillet	this is how your teacher sounds on a friday afternoon	some scenes from a tv show are playing in which people are talking	3
video8650	a man is kissing a woman	scene from a popular party	a man is interviewing a woman	models walking down the runway	a woman and a man are dancing	2
video8651	a water moving ship moving swiftly slowly	an animated clip of a minecraft character dancing	a car commercial of a woman working	a car commercial of a woman singing	the football players try to catch the ball	3
video8652	a cartoon with fire for hair	a basketball player walking through a crowd	a basketball player diving into a crowd	a chef picks up a live crab with tongs in a kitchen then takes it in her hand	dubstep music plays while viewing a photo of a baseball player in red uniform	2
video7502	a person is giving interview to a man	a woman is aiming to sell a car	a man in suit walks down a hallway and also gives a lecture to an intently listening audience	a woman in a green dress	a woman is aiming to shoot a car	4
video8654	a race car is showing driving around the tracks	a person is cooking food	a man is resisting the act of rape another man places drug pills into someones cup	a person is eating food	a person in white dress color standing speaking inside kitchen preparing dish walking displaying on screen	1
video8656	a person is cooking	marvel s avengers movie trailer	a dad plays video games with his son	a person is driving	couple is dancing	0
video8657	lady singing on a beach at night	a baby is playing with a cat	a man is arriving on his motorbike	swimming in water a looking at landscape	a man is driving his motorbike	2
video7898	its a tasty noodles with vegetables  food for eating	a woman in a pink shirt running and then jumping	someone is doing photoshop on an image in fast motion	a boat goes down a narrow waterway in a town with colorful buildings	its a tasty noodles with vegetables  food for fighting	0
video8514	a person in a bikini is doing something with a device	men are walking and dancing	somebody cutting up vegetables placing them into freezing water and then placing it into a glass bowl	somebody cutting up vegetables placing them into boiling water and then placing it into a glass bowl	little kids playing in lawn	3
video7909	a woman weaves a ribbon	kids running from a horse outside	a woman holding a ribbon	chef explains quickly how to make a meal	a specific scene from a video game is shown	2
video8456	two men eating an ice cream sandwich differently	marvel s avengers movie trailer	a man is dancing by himself	a man is videotaping himself	it is a cartoon so many babies are there and a santha	3
video8018	a female child picks out groceries	a female child cuts up groceries	couples describing the logic behind movie scenes	an animation clip of a boy and a girl hugging each other	a woman with dark hair with exotic contact lenses is adding details to the vessels surrounding her eyes	0
video8016	a cat and a dog are laying	a cat and a dog are fighting	a clip of a video game outside	a man talks about the mirror test and scientific theory	children eat a piece of fried chicken	1
video7900	a man discussing dna	a woman talking to a man	a man testing for dna	a man seasoning his meal and taking a bite	a young boy is dancing and singing to a pop song	0
video8014	a bunch of different people are singing about coke	a man gutting a fish	a man is describing about the base of a car	a man is walking through a market	a bunch of different people are drinking coke	0
video7902	a baby is playing with a cat	a girl waits in an airport terminal then an airliner out on the target at nighttime is shown	someone is playing a video game	a baby is cuddling a cat	a clip taken from an asian soap opera	0
video8012	a person is playing guitar	a man and woman fighting	a man and woman kiss	an emotional video on being helpful	people are singing and dancing	1
video8013	judges are astonished by a singers voice	a group of people are watching sports	a woman walking through her sims home	a woman is singing	a group of people are playing sports	4
video8010	three guys talk to each other	david leterman is doing an interview	a person changes the color of his car in lego star wars	a person records the color of his car in lego star wars	a car is running fast	2
video8011	a girl touching a picture	a girl holding a picture	guy driving a jeep	young kid outside dancing by the pool	a bunch of kids are talking in a children s show	0
video7589	a person looking at their motocycle	a man is talking while sitting on a beach	a man is talking while standing on a beach	a woman speaking in foreign language	the number 15 appears a movie is shown death to smoochy with a man in a dinosaur suit on the cover	2
video7588	a girl watches a classmate get yelled at by a teacher	a woman describes expansion flooring	a woman describes expansion plans	a scientist talks about his feelings on cutting trees in a rain forest	different vegetable are cut into pieces	1
video9745	a man telling about a car	an adult practices a gymnastic skill	a bunch of teammates are dancing	a group of people ride in a vehicle suspended over a forest	a bunch of teammates are sitting	4
video9744	men are attempting an unknown experiment	a cartoon to the song mary had a little lamb	a person is showing a miniature oven	men are watching an unknown experiment	a man looks at an alternator	0
video7587	a referee gets down low as two people wrestle	a person rubs their fingers together	a ckise up shows someone s fingers making use of a fast search app on their phone	two women are speakng about a young girl and her actions	a referee gets down low as two people kiss	0
video7586	a group of women singing	a man and woman in different scenes	a woman talking about vision problems	a group of women dance outside	students walking inside a building as three in each group at last a single girl is left behind	0
video7581	a man is giving an interview	a man gives advice to various people	some sentences are displaying	people are playing basketball	some sentences are moving	2
video7580	a woman fights aliens	various clips of different moviesmostly kid movies	a man performs on stage sounds with his mouth	a woman discusses aliens	two kids talk in a classroom	3
video7583	a man with a hat on walking through a cafeteria	people are playing baseball and then american football	a game character shooting at another character	a girl is crying in front of a woman in the woods	a girl is dancing in front of a woman in the woods	3
video9742	some food is boiling in a pan	an actor discussing scenes in a movie	a boy is playing with toys	in a field a coyote looks up at the stars	an actor performs scenes in a movie	1
video7349	a man with a british accent is interviewing another man	a boy is talking about google logo s on people s shirts	a big crocodile weirdly smiling and looking to a unknown direction	a man with a british accent is singing to another man	in a moving vehicle the driver explains the ease of operation due to the vehicle s flat front	0
video7348	a web show host talks about a video she is filming	an animated man discusses dr sachs who can t recognize his own face	an ad for a stroller	a web show host talks about a video she is pointing	small ring type is displayed on the screen	0
video7347	a man talks about the problem of poaching	a man is working on a laptop	a man is talking about working with electronics	an art project made with legos depicts a bulldozer putting something into a dumptruck	a man is discussing a laptop	4
video7346	a bunch of boys watch a movie	a bunch of boys filming a movie	a girl shows off a popsicle shirt	a woman is talking a stroller apart and folding it	scene from a movie	0
video7345	a group of students work at school	a woman talk about a alpacas animal	a guy walks across a room to a window then goes outside	bbc one shows a rock concert	a group of students walking out school	0
video7343	a man is cleaning a car	its a women dancing on streets	travel show that travels the world and trys different types of meals	people are talking	a man is driving a car	0
